Country,Year,Acts against computer systems (number),Attempted intentional homicide (number),Bribery (number),Burglary (number),Child pornography (number),Corruption (number),Fraud (number),Intentional homicide (number),Kidnapping (number),Money laundering (number),Participation in an organized criminal group (number),Robbery (number),Sexual exploitation (number),Sexual violence (number),Theft (number),Unlawful acts involving controlled drugs or precursors (number),Total Crimes number,Acts against computer systems (per100k),Attempted intentional homicide (per100k),Bribery (per100k),Burglary (per100k),Child pornography (per100k),Corruption (per100k),Fraud (per100k),Intentional homicide (per100k),Kidnapping (per100k),Money laundering (per100k),Participation in an organized criminal group (per100k),Robbery (per100k),Sexual exploitation (per100k),Sexual violence (per100k),Theft (per100k),Unlawful acts involving controlled drugs or precursors (per100k),Total Crimes per100k,Migration Data
Austria,2012,,109.0,,85238.0,,,,88.0,11.0,,,4092.0,,4040.0,146520.0,1990.0,242088.0,,1.3,,1013.76,,,,1.05,0.13,,,48.67,,48.05,1742.6,23.67,2879.23,125605.0
Austria,2013,,105.0,,88703.0,,,,63.0,4.0,,,3737.0,,3780.0,154002.0,27231.0,277625.0,,1.24,,1049.51,,,,0.75,0.05,,,44.22,,44.72,1822.11,322.19,3284.7899999999995,135228.0
Austria,2014,,70.0,,85487.0,,,,43.0,1.0,,,3481.0,,3564.0,148263.0,29164.0,270073.0,,0.82,,1004.91,,,,0.51,0.01,,,40.92,,41.9,1742.86,342.83,3174.7599999999998,154260.0
Austria,2015,,96.0,,79152.0,,,,42.0,3.0,,,3416.0,,3479.0,140254.0,33080.0,259522.0,,1.12,,922.92,,,,0.49,0.03,,,39.79,,40.57,1635.37,385.72,3026.01,198658.0
Austria,2016,13103.0,99.0,20.0,80503.0,685.0,3151.0,32543.0,49.0,2.0,562.0,57.0,3103.0,835.0,4391.0,143531.0,36235.0,318869.0,150.6,1.14,0.23,926.38,7.87,36.22,374.04,0.56,0.02,6.46,0.66,35.66,9.6,50.53,1651.67,416.97,3668.6099999999997,158746.0
Austria,2017,3187.0,151.0,30.0,69259.0,740.0,3209.0,35050.0,61.0,3.0,622.0,74.0,2610.0,927.0,4253.0,131717.0,42699.0,294592.0,36.33,1.72,0.34,789.47,8.44,36.58,399.53,0.7,0.03,7.09,0.84,29.75,10.57,48.48,1501.41,486.72,3358.0,139329.0
Austria,2018,2762.0,131.0,24.0,58637.0,1172.0,3113.0,37859.0,73.0,5.0,666.0,79.0,2396.0,1358.0,4425.0,118802.0,41177.0,272679.0,31.31,1.48,0.27,664.65,13.28,35.29,429.13,0.83,0.06,7.55,0.9,27.16,15.39,50.16,1346.62,466.74,3090.8199999999997,131724.0
Austria,2019,7292.0,171.0,38.0,54324.0,1681.0,3158.0,49627.0,74.0,6.0,430.0,119.0,2628.0,1859.0,4509.0,115423.0,43767.0,285106.0,82.31,1.93,0.43,613.22,18.98,35.65,560.2,0.84,0.07,4.85,1.34,29.67,20.98,50.9,1302.92,494.05,3218.34,134966.0
Austria,2020,12585.0,133.0,37.0,48437.0,1710.0,2879.0,54410.0,54.0,3.0,527.0,94.0,2137.0,1917.0,4141.0,84734.0,40785.0,254583.0,141.39,1.49,0.42,544.17,19.21,32.34,611.28,0.61,0.03,5.92,1.06,24.01,21.54,46.52,951.95,458.2,2860.1400000000003,121311.0
Austria,2021,15089.0,121.0,57.0,40385.0,1930.0,2915.0,57407.0,59.0,3.0,742.0,90.0,2118.0,2115.0,4354.0,73213.0,35461.0,236059.0,168.92,1.35,0.64,452.1,21.61,32.63,642.66,0.66,0.03,8.31,1.01,23.71,23.68,48.74,819.61,396.98,2642.6400000000003,139543.0
Austria,2022,21974.0,134.0,148.0,49592.0,,3085.0,70429.0,65.0,9.0,755.0,88.0,2536.0,2239.0,4968.0,97139.0,35232.0,288393.0,244.73,1.49,1.65,552.32,,34.36,784.38,0.72,0.1,8.41,0.98,28.24,24.94,55.33,1081.86,392.39,3211.9,246265.0
Belgium,2012,,836.0,,102451.0,,,,206.0,1185.0,,,25608.0,,10736.0,237921.0,11334.0,390277.0,,7.55,,923.41,,,,1.86,10.68,,,230.81,,96.77,2144.43,102.16,3517.67,116055.0
Belgium,2013,,809.0,,99934.0,,,,204.0,1163.0,,,22879.0,,11399.0,224109.0,11419.0,371916.0,,7.26,,895.33,,,,1.83,10.42,,,204.98,,102.13,2007.85,102.31,3332.1099999999997,105529.0
Belgium,2014,,849.0,,96419.0,,,,210.0,1151.0,,,21928.0,,6897.0,208443.0,55132.0,391029.0,,7.59,,862.36,,,,1.88,10.29,,,196.12,,61.69,1864.29,493.09,3497.31,106345.0
Belgium,2015,,880.0,,91761.0,,,,231.0,1171.0,,,20278.0,,6888.0,246853.0,52657.0,420719.0,,7.83,,816.58,,,,2.06,10.42,,,180.45,,61.3,2196.73,468.59,3743.96,128762.0
Belgium,2016,3660.0,881.0,96.0,78953.0,1323.0,5158.0,55597.0,175.0,1201.0,882.0,242.0,18678.0,2510.0,7832.0,232504.0,55581.0,465273.0,32.36,7.79,0.85,698.01,11.7,45.6,491.53,1.55,10.62,7.8,2.14,165.13,22.19,69.24,2055.54,491.38,4113.429999999999,106087.0
Belgium,2017,3985.0,971.0,100.0,75151.0,1729.0,4596.0,57995.0,198.0,1170.0,905.0,285.0,17645.0,2851.0,8634.0,223563.0,58254.0,458032.0,35.1,8.55,0.88,662.02,15.23,40.49,510.89,1.74,10.31,7.97,2.51,155.44,25.12,76.06,1969.42,513.17,4034.8999999999996,109167.0
Belgium,2018,5461.0,1027.0,97.0,71176.0,1875.0,4729.0,66051.0,192.0,,1354.0,263.0,16483.0,2961.0,8737.0,222049.0,59786.0,462241.0,47.91,9.01,0.85,624.43,16.45,41.49,579.47,1.68,,11.88,2.31,144.61,25.98,76.65,1948.04,524.5,4055.26,119663.0
Belgium,2019,6553.0,1025.0,100.0,66045.0,2651.0,4849.0,81271.0,147.0,,2375.0,308.0,16297.0,3760.0,9638.0,227402.0,63745.0,486166.0,57.2,8.95,0.87,576.53,23.14,42.33,709.45,1.28,,20.73,2.69,142.26,32.82,84.13,1985.09,556.46,4243.929999999999,129450.0
Belgium,2020,9430.0,1018.0,73.0,47667.0,2120.0,4333.0,95733.0,150.0,,6093.0,322.0,11869.0,3670.0,9398.0,157085.0,61799.0,410760.0,81.84,8.83,0.63,413.69,18.4,37.6,830.84,1.3,,52.88,2.79,103.01,31.85,81.56,1363.3,536.34,3564.8599999999997,101553.0
Belgium,2021,8837.0,1053.0,90.0,45940.0,1800.0,4863.0,101776.0,154.0,,6417.0,520.0,11567.0,3804.0,10527.0,166968.0,56440.0,420756.0,76.48,9.11,0.78,397.58,15.58,42.09,880.81,1.33,,55.54,4.5,100.11,32.92,91.11,1445.01,488.46,3641.4099999999994,122386.0
Belgium,2022,9544.0,1196.0,69.0,51698.0,,5020.0,113525.0,179.0,,4089.0,341.0,12126.0,2112.0,10693.0,195873.0,56234.0,462699.0,82.15,10.29,0.59,445.0,,43.21,977.18,1.54,,35.2,2.94,104.38,18.18,92.04,1686.0,484.04,3982.74,192002.0
Czechia,2012,,93.0,,55554.0,,,,95.0,17.0,,,3416.0,,1410.0,120028.0,3814.0,184427.0,,0.89,,528.81,,,,0.9,0.16,,,32.52,,13.42,1142.53,36.3,1755.53,28607.0
Czechia,2013,,92.0,,62384.0,,,,90.0,20.0,,,3051.0,,1417.0,126223.0,5117.0,198394.0,,0.87,,593.22,,,,0.86,0.19,,,29.01,,13.47,1200.28,48.66,1886.56,27843.0
Czechia,2014,,79.0,,49304.0,,,,81.0,15.0,,,2547.0,,1432.0,104464.0,5597.0,163519.0,,0.75,,469.01,,,,0.77,0.14,,,24.23,,13.62,993.72,53.24,1555.48,38490.0
Czechia,2015,,67.0,,34476.0,,,,88.0,12.0,,,2022.0,,1422.0,85366.0,5549.0,129002.0,,0.64,,327.15,,,,0.84,0.11,,,19.19,,13.49,810.06,52.66,1224.1399999999999,31589.0
Czechia,2016,,71.0,98.0,28220.0,360.0,2959.0,9836.0,65.0,18.0,1180.0,11.0,1646.0,396.0,1393.0,71224.0,5567.0,123044.0,,0.67,0.93,267.39,3.41,28.04,93.2,0.62,0.17,11.18,0.1,15.6,3.75,13.2,674.86,52.75,1165.87,34808.0
Czechia,2017,784.0,45.0,92.0,24127.0,489.0,2723.0,8752.0,40.0,17.0,933.0,5.0,1585.0,549.0,1414.0,66101.0,5599.0,113255.0,7.41,0.43,0.87,228.07,4.62,25.74,82.73,0.38,0.16,8.82,0.05,14.98,5.19,13.37,624.84,52.93,1070.5900000000001,43527.0
Czechia,2018,893.0,43.0,281.0,21151.0,649.0,2596.0,8449.0,55.0,13.0,780.0,9.0,1406.0,683.0,1448.0,59438.0,5465.0,103359.0,8.42,0.41,2.65,199.35,6.12,24.47,79.63,0.52,0.12,7.35,0.08,13.25,6.44,13.65,560.2,51.51,974.17,55872.0
Czechia,2019,1092.0,62.0,122.0,22161.0,728.0,2339.0,9179.0,81.0,12.0,626.0,24.0,1439.0,765.0,1560.0,59850.0,4819.0,104859.0,10.25,0.58,1.15,208.09,6.84,21.96,86.19,0.76,0.11,5.88,0.23,13.51,7.18,14.65,561.98,45.25,984.61,63340.0
Czechia,2020,1287.0,68.0,115.0,20661.0,666.0,1689.0,7952.0,57.0,11.0,556.0,18.0,1248.0,666.0,1453.0,45638.0,4191.0,86276.0,12.03,0.64,1.08,193.2,6.23,15.79,74.36,0.53,0.1,5.2,0.17,11.67,6.23,13.59,426.77,39.19,806.78,53795.0
Czechia,2021,1866.0,59.0,95.0,30748.0,627.0,1396.0,11715.0,46.0,2.0,564.0,22.0,1230.0,765.0,1593.0,26928.0,4196.0,81852.0,17.44,0.55,0.89,292.98,5.97,13.3,111.63,0.43,0.02,5.37,0.21,11.49,7.29,14.89,256.58,39.21,778.25,67270.0
Czechia,2022,2848.0,63.0,180.0,33750.0,,1610.0,16100.0,79.0,2.0,691.0,22.0,1422.0,948.0,1822.0,34774.0,4200.0,98511.0,27.08,0.6,1.71,320.92,,15.31,153.09,0.75,0.02,6.57,0.21,13.52,9.01,17.32,330.65,39.94,936.7,347726.0
Denmark,2012,,142.0,,80930.0,,,,43.0,,,,3003.0,,1904.0,281515.0,23141.0,390678.0,,2.54,,1450.22,,,,0.77,,,,53.81,,34.12,5044.6,414.67,7000.73,49592.0
Denmark,2013,,165.0,,78955.0,,,,41.0,,,,3200.0,,1843.0,269086.0,25782.0,379072.0,,2.95,,1409.25,,,,0.73,,,,57.12,,32.9,4802.85,460.18,6765.98,55953.0
Denmark,2014,,148.0,,69637.0,,,,62.0,,,,2322.0,,2368.0,250773.0,28093.0,353403.0,,2.63,,1237.5,,,,1.1,,,,41.26,,42.08,4456.42,499.23,6280.22,64532.0
Denmark,2015,,141.0,,63343.0,,,,52.0,,,,2034.0,,2611.0,225868.0,24813.0,318862.0,,2.49,,1119.19,,,,0.92,,,,35.94,,46.13,3990.8,438.41,5633.88,75369.0
Denmark,2016,,194.0,53.0,60136.0,239.0,5246.0,39282.0,53.0,,4.0,,2185.0,597.0,3793.0,225511.0,23683.0,360976.0,,3.4,0.93,1053.68,4.19,91.92,688.28,0.93,,0.07,,38.28,10.46,66.46,3951.31,414.96,6324.870000000001,71228.0
Denmark,2017,,212.0,27.0,54922.0,1752.0,3717.0,43938.0,61.0,,113.0,,2042.0,2039.0,4795.0,213924.0,27684.0,355226.0,,3.69,0.47,955.37,30.48,64.66,764.3,1.06,,1.97,,35.52,35.47,83.41,3721.21,481.56,6179.17,66424.0
Denmark,2018,,209.0,315.0,54868.0,1593.0,4833.0,43348.0,54.0,,105.0,,1819.0,1681.0,5540.0,182819.0,30170.0,327354.0,,3.62,5.45,949.08,27.55,83.6,749.81,0.93,,1.82,,31.46,29.08,95.83,3162.31,521.86,5662.400000000001,64577.0
Denmark,2019,,149.0,46.0,48257.0,1505.0,5060.0,47627.0,54.0,,258.0,,1698.0,1601.0,4895.0,170043.0,32954.0,314147.0,,2.57,0.79,831.15,25.92,87.15,820.3,0.93,,4.44,,29.25,27.57,84.31,2928.71,567.58,5410.67,61929.0
Denmark,2020,,151.0,13.0,38493.0,1815.0,3873.0,53864.0,51.0,,1184.0,,1635.0,1901.0,5370.0,142042.0,31221.0,281613.0,,2.59,0.22,661.08,31.17,66.51,925.06,0.88,,20.33,,28.08,32.65,92.22,2439.43,536.19,4836.41,48005.0
Denmark,2021,,133.0,53.0,30433.0,2051.0,4777.0,45482.0,42.0,,2557.0,,1287.0,2125.0,6343.0,124628.0,28666.0,248577.0,,2.28,0.91,521.11,35.12,81.8,778.8,0.72,,43.78,,22.04,36.39,108.61,2134.02,490.85,4256.43,57261.0
Denmark,2022,,140.0,10.0,31589.0,,3481.0,57183.0,59.0,,5903.0,,1406.0,3365.0,6296.0,146613.0,31269.0,287314.0,,2.38,0.17,537.83,,59.27,973.59,1.0,,100.5,,23.94,57.29,107.19,2496.21,532.38,4891.75,101175.0
Estonia,2012,,17.0,,2718.0,,,,63.0,0.0,,,457.0,,248.0,18628.0,4616.0,26747.0,,1.28,,205.1,,,,4.75,0.0,,,34.48,,18.71,1405.66,348.32,2018.3,1107.0
Estonia,2013,,10.0,,2132.0,,,,52.0,1.0,,,476.0,,240.0,16465.0,4638.0,24014.0,,0.76,,161.49,,,,3.94,0.08,,,36.06,,18.18,1247.18,351.32,1819.0100000000002,1633.0
Estonia,2014,,14.0,,2072.0,,,,41.0,0.0,,,360.0,,199.0,15738.0,4052.0,22476.0,,1.06,,157.47,,,,3.12,0.0,,,27.36,,15.12,1196.06,307.95,1708.1399999999999,1347.0
Estonia,2015,,17.0,,1662.0,,,,50.0,0.0,,,337.0,,284.0,11354.0,4982.0,18686.0,,1.29,,126.4,,,,3.8,0.0,,,25.63,,21.6,863.51,378.9,1421.1299999999999,7370.0
Estonia,2016,130.0,11.0,,1328.0,118.0,,1685.0,33.0,0.0,68.0,,248.0,,271.0,8982.0,5653.0,18527.0,9.88,0.84,,100.92,8.97,,128.04,2.51,0.0,5.17,,18.85,,20.59,682.55,429.58,1407.8999999999999,7693.0
Estonia,2017,167.0,16.0,165.0,965.0,154.0,291.0,1561.0,29.0,0.0,41.0,34.0,201.0,,259.0,7633.0,5808.0,17324.0,12.69,1.22,12.54,73.35,11.71,22.12,118.65,2.2,0.0,3.12,2.58,15.28,,19.69,580.18,441.46,1316.7899999999997,9067.0
Estonia,2018,205.0,18.0,177.0,755.0,184.0,376.0,1453.0,25.0,0.0,101.0,16.0,170.0,,296.0,7403.0,4505.0,15684.0,15.54,1.36,13.42,57.23,13.95,28.5,110.15,1.9,0.0,7.66,1.21,12.89,,22.44,561.2,341.51,1188.96,9711.0
Estonia,2019,197.0,11.0,37.0,600.0,175.0,72.0,1813.0,23.0,0.0,190.0,5.0,152.0,,355.0,6804.0,3998.0,14432.0,14.87,0.83,2.79,45.29,13.21,5.43,136.85,1.74,0.0,14.34,0.38,11.47,,26.8,513.58,301.78,1089.3600000000001,10953.0
Estonia,2020,255.0,13.0,40.0,582.0,156.0,81.0,1845.0,37.0,0.0,21.0,3.0,113.0,,310.0,6863.0,3701.0,14020.0,19.19,0.98,3.01,43.79,11.74,6.09,138.83,2.78,0.0,1.58,0.23,8.5,,23.33,516.41,278.49,1054.95,10309.0
Estonia,2021,250.0,9.0,41.0,491.0,231.0,87.0,2852.0,19.0,0.0,18.0,1.0,129.0,,393.0,7513.0,3620.0,15654.0,18.8,0.68,3.08,36.92,17.37,6.54,214.43,1.43,0.0,1.35,0.08,9.7,,29.55,564.86,272.17,1176.9599999999998,12468.0
Estonia,2022,231.0,9.0,108.0,528.0,,165.0,2612.0,18.0,0.0,20.0,2.0,98.0,,363.0,8027.0,3130.0,15311.0,17.34,0.68,8.11,39.65,,12.39,196.13,1.35,0.0,1.5,0.15,7.36,,27.26,602.72,235.02,1149.66,42433.0
Finland,2012,,349.0,,24308.0,,,,107.0,1.0,,,1616.0,,3234.0,126244.0,20102.0,175961.0,,6.46,,450.04,,,,1.98,0.02,,,29.91,,59.87,2337.3,372.17,3257.75,23334.0
Finland,2013,,264.0,,9593.0,,,,107.0,1.0,,,1523.0,,2988.0,137219.0,22656.0,174351.0,,4.86,,176.77,,,,1.97,0.02,,,28.07,,55.06,2528.6,417.49,3212.8399999999997,23873.0
Finland,2014,,327.0,,10411.0,,,,112.0,1.0,,,1687.0,,2825.0,137465.0,21781.0,174609.0,,6.0,,190.98,,,,2.05,0.02,,,30.95,,51.82,2521.71,399.56,3203.09,23647.0
Finland,2015,,299.0,,10051.0,,,,116.0,1.0,,,1548.0,,2772.0,132978.0,23433.0,171198.0,,5.46,,183.69,,,,2.12,0.02,,,28.29,,50.66,2430.26,428.25,3128.75,21414.0
Finland,2016,1008.0,311.0,25.0,8629.0,143.0,3667.0,44788.0,96.0,3.0,370.0,2.0,1670.0,282.0,3188.0,126734.0,25121.0,216037.0,18.37,5.67,0.46,157.25,2.61,66.83,816.21,1.75,0.05,6.74,0.04,30.43,5.14,58.1,2309.58,457.8,3937.03,27274.0
Finland,2017,935.0,348.0,17.0,7807.0,111.0,3565.0,35320.0,74.0,2.0,473.0,0.0,1640.0,324.0,3054.0,121178.0,27639.0,202487.0,16.99,6.32,0.31,141.86,2.02,64.78,641.8,1.34,0.04,8.59,0.0,29.8,5.89,55.49,2201.92,502.23,3679.38,23735.0
Finland,2018,918.0,355.0,27.0,7854.0,126.0,3846.0,35699.0,95.0,4.0,426.0,1.0,1700.0,368.0,3537.0,118193.0,29176.0,202325.0,16.65,6.44,0.49,142.46,2.29,69.76,647.53,1.72,0.07,7.73,0.02,30.84,6.67,64.16,2143.85,529.21,3669.8900000000003,23146.0
Finland,2019,1142.0,329.0,13.0,7501.0,185.0,3960.0,40294.0,83.0,1.0,452.0,2.0,1805.0,569.0,4009.0,122731.0,32343.0,215419.0,20.7,5.96,0.24,135.94,3.35,71.77,730.24,1.5,0.02,8.19,0.04,32.71,10.31,72.65,2224.23,586.14,3903.9900000000002,24178.0
Finland,2020,1594.0,383.0,267.0,7790.0,545.0,4041.0,47132.0,95.0,3.0,594.0,3.0,1995.0,895.0,4062.0,134831.0,37124.0,241354.0,28.85,6.93,4.83,140.99,9.86,73.14,853.02,1.72,0.05,10.75,0.05,36.11,16.2,73.52,2440.25,671.89,4368.160000000001,23260.0
Finland,2021,1972.0,374.0,23.0,6345.0,405.0,3700.0,47474.0,94.0,2.0,700.0,3.0,1892.0,802.0,5016.0,124104.0,28276.0,221182.0,35.64,6.76,0.42,114.66,7.32,66.86,857.89,1.7,0.04,12.65,0.05,34.19,14.49,90.64,2242.66,510.97,3996.9399999999996,28043.0
Finland,2022,2280.0,349.0,22.0,5810.0,,3672.0,53916.0,83.0,2.0,926.0,3.0,2329.0,953.0,5108.0,124826.0,25206.0,225485.0,41.09,6.29,0.4,104.72,,66.18,971.77,1.5,0.04,16.69,0.05,41.98,17.18,92.07,2249.83,454.31,4064.0999999999995,42470.0
France,2012,,1560.0,,364462.0,,,,814.0,2117.0,,,123814.0,,26783.0,1173885.0,5902.0,1699337.0,,2.39,,558.33,,,,1.25,3.24,,,189.67,,41.03,1798.31,9.04,2603.2599999999998,151599.0
France,2013,,1503.0,,385511.0,,,,802.0,2266.0,,,124657.0,,27778.0,1390001.0,6455.0,1938973.0,,2.29,,587.67,,,,1.22,3.45,,,190.02,,42.34,2118.89,9.84,2955.72,249176.0
France,2014,,1678.0,,379153.0,,,,765.0,2956.0,,,114093.0,,30959.0,1429398.0,6895.0,1965897.0,,2.54,,574.98,,,,1.16,4.48,,,173.02,,46.95,2167.66,10.46,2981.2499999999995,236915.0
France,2015,,2112.0,,379253.0,,,,880.0,3818.0,,,104116.0,,33283.0,1397363.0,7483.0,1928308.0,,3.18,,570.41,,,,1.32,5.74,,,156.59,,50.06,2101.67,11.25,2900.2200000000003,240497.0
France,2016,10549.0,2259.0,190.0,366480.0,2409.0,2007.0,197720.0,779.0,3818.0,1113.0,1339.0,105636.0,7644.0,35464.0,1464569.0,241887.0,2443863.0,15.83,3.39,0.29,549.95,3.62,3.01,296.71,1.17,5.72,1.67,2.01,158.52,11.47,53.22,2197.79,362.98,3667.3500000000004,243597.0
France,2017,10169.0,2284.0,204.0,365731.0,2981.0,1966.0,173909.0,710.0,,1222.0,1548.0,99558.0,8969.0,39690.0,1453593.0,227143.0,2389677.0,15.22,3.43,0.31,547.42,4.46,2.94,260.3,1.06,,1.83,2.32,149.4,13.42,59.41,2181.31,339.98,3582.81,246227.0
France,2018,9943.0,2482.0,231.0,339333.0,3645.0,2356.0,180411.0,696.0,,1516.0,1551.0,91953.0,9374.0,47736.0,1421318.0,247111.0,2359656.0,14.83,3.72,0.34,506.27,5.44,3.52,269.16,1.04,,2.27,2.31,137.99,13.99,71.63,2132.88,368.68,3534.07,259934.0
France,2019,11400.0,2718.0,230.0,334519.0,4435.0,2395.0,205673.0,753.0,,1712.0,1607.0,89966.0,10632.0,55223.0,1440130.0,244634.0,2406027.0,16.97,4.05,0.34,497.96,6.6,3.57,306.16,1.12,,2.55,2.39,133.92,15.83,82.2,2143.76,364.16,3581.58,268462.0
France,2020,13807.0,3115.0,204.0,279437.0,4858.0,2287.0,230854.0,692.0,,2102.0,1651.0,74190.0,11416.0,57828.0,1144181.0,217736.0,2044358.0,20.51,4.63,0.3,415.09,7.22,3.4,342.92,1.03,,3.12,2.45,110.2,16.96,85.9,1699.61,323.43,3036.7699999999995,208493.0
France,2021,16035.0,3136.0,265.0,269431.0,5336.0,2734.0,270511.0,734.0,,2712.0,2169.0,70502.0,12447.0,76594.0,1180970.0,288717.0,2202293.0,23.7,4.64,0.39,398.23,7.89,4.04,399.83,1.08,,4.01,3.21,104.21,18.4,113.21,1745.53,426.74,3255.11,250383.0
France,2022,16244.0,3584.0,240.0,296218.0,,2504.0,259497.0,821.0,,2893.0,2100.0,68000.0,12415.0,85571.0,1333128.0,331773.0,2414988.0,23.93,5.28,0.35,436.44,,3.69,382.33,1.21,,4.26,3.09,100.19,18.29,126.08,1964.18,488.82,3558.14,284910.0
Germany,2012,,1588.0,,430211.0,,,,619.0,5183.0,,,48711.0,,36277.0,1267576.0,237150.0,2027315.0,,1.98,,535.57,,,,0.77,6.45,,,60.64,,45.16,1578.0,295.22,2523.79,965908.0
Germany,2013,,1591.0,,437520.0,,,,623.0,4929.0,,,47234.0,,35330.0,1289071.0,253525.0,2069823.0,,1.98,,543.34,,,,0.77,6.12,,,58.66,,43.88,1600.86,314.85,2570.46,1108068.0
Germany,2014,,1625.0,,446073.0,,,,645.0,4988.0,,,45475.0,,34959.0,1322144.0,276734.0,2132643.0,,2.01,,552.29,,,,0.8,6.18,,,56.3,,43.28,1636.98,342.63,2640.4700000000003,1342529.0
Germany,2015,,1551.0,,463929.0,,,,655.0,4763.0,,,44666.0,,34265.0,1348955.0,282604.0,2181388.0,,1.91,,571.36,,,,0.81,5.87,,,55.01,,42.2,1661.33,348.05,2686.54,2016241.0
Germany,2016,15060.0,1757.0,6502.0,432730.0,,6502.0,899043.0,747.0,4756.0,11541.0,563.0,43009.0,,37166.0,1290481.0,302594.0,3052451.0,18.33,2.14,7.91,526.59,,7.91,1094.05,0.91,5.79,14.04,0.69,52.34,,45.23,1570.39,368.23,3714.5499999999997,1719075.0
